champion,role,score
Aatrox,top,88.40
Ahri,mid,92.36
Akali,mid,55.13
Akali,top,46.33
Akshan,mid,48.48
Akshan,top,34.45
Alistar,support,58.47
Amumu,jungle,32.93
Anivia,top,55.53
Anivia,mid,45.26
Annie,mid,45.53
Annie,top,30.69
Aphelios,bot,42.57
Ashe,support,52.56
Ashe,bot,46.82
Aurelion Sol,mid,55.37
Azir,mid,54.33
Bard,support,55.13
Bel'Veth,jungle,59.17
Blitzcrank,support,62.59
Brand,jungle,48.86
Brand,support,40.80
Braum,support,44.35
Briar,jungle,38.40
Caitlyn,bot,44.69
Camille,top,49.87
Camille,support,49.06
Cassiopeia,bot,54.41
Cassiopeia,top,47.14
Cassiopeia,mid,41.28
Cho'Gath,top,48.96
Cho'Gath,mid,37.67
Corki,mid,45.59
Darius,top,60.94
Diana,mid,45.81
Diana,jungle,44.32
Dr. Mundo,top,40.70
Draven,bot,47.26
Ekko,jungle,46.65
Ekko,mid,46.22
Elise,jungle,40.69
Evelynn,jungle,49.50
Ezreal,bot,58.08
Fiddlesticks,jungle,52.05
Fiddlesticks,mid,35.23
Fiora,top,67.06
Fizz,mid,47.40
Galio,mid,44.21
Gangplank,top,52.21
Gangplank,mid,30.40
Garen,top,47.71
Gnar,top,48.65
Gragas,top,65.99
Gragas,jungle,52.45
Graves,jungle,65.37
Gwen,top,47.08
Gwen,jungle,32.76
Hecarim,jungle,43.42
Heimerdinger,bot,43.88
Heimerdinger,top,34.89
Heimerdinger,support,19.17
Hwei,mid,79.16
Hwei,support,38.43
Illaoi,top,47.78
Irelia,top,49.39
Irelia,mid,48.33
Ivern,jungle,46.65
Janna,support,80.09
Jarvan IV,jungle,56.31
Jax,top,64.59
Jax,jungle,49.22
Jayce,top,62.77
Jayce,mid,51.92
Jhin,bot,48.83
Jinx,bot,53.38
K'Sante,top,55.13
Kai'Sa,bot,63.23
Kalista,bot,50.48
Karma,mid,82.49
Karma,support,68.44
Karma,top,56.19
Karthus,jungle,50.85
Karthus,bot,46.03
Kassadin,mid,57.43
Katarina,mid,56.62
Kayle,mid,55.23
Kayle,top,42.54
Kayn,jungle,69.78
Kennen,top,53.93
Kha'Zix,jungle,57.19
Kindred,jungle,60.04
Kled,top,47.64
Kled,mid,43.34
Kog'Maw,bot,45.26
Kog'Maw,mid,39.99
LeBlanc,mid,52.95
Lee Sin,jungle,89.06
Leona,support,40.64
Lillia,jungle,49.74
Lissandra,mid,41.66
Lucian,bot,49.71
Lucian,mid,31.88
Lulu,support,59.63
Lux,mid,48.79
Lux,support,39.84
Malphite,top,59.67
Malzahar,mid,43.48
Maokai,support,61.24
Maokai,jungle,49.04
Master Yi,jungle,57.17
Milio,support,64.85
Miss Fortune,bot,46.17
Mordekaiser,top,56.40
Morgana,support,39.70
Naafiri,top,50.31
Naafiri,mid,47.32
Nami,support,58.40
Nasus,mid,47.75
Nasus,top,37.58
Nautilus,support,83.77
Neeko,mid,40.04
Neeko,support,36.32
Nidalee,jungle,57.71
Nilah,bot,51.01
Nocturne,jungle,48.54
Nunu,jungle,43.99
Olaf,top,53.80
Orianna,mid,56.46
Ornn,top,52.50
Pantheon,top,50.75
Pantheon,mid,41.44
Pantheon,jungle,33.79
Pantheon,support,21.44
Poppy,support,48.89
Poppy,top,48.59
Poppy,jungle,47.00
Pyke,support,69.81
Qiyana,mid,56.07
Qiyana,jungle,35.66
Quinn,top,52.78
Rakan,support,67.55
Rammus,jungle,44.72
Rek'Sai,jungle,47.74
Rek'Sai,top,44.41
Rell,jungle,57.29
Rell,support,55.18
Renata Glasc,support,40.14
Renekton,top,67.21
Rengar,jungle,58.04
Rengar,top,44.37
Riven,top,53.65
Rumble,top,56.50
Rumble,mid,45.90
Ryze,top,45.20
Ryze,mid,38.96
Samira,bot,45.60
Sejuani,jungle,40.08
Senna,support,79.76
Senna,bot,54.62
Seraphine,bot,48.52
Seraphine,support,42.84
Sett,top,48.84
Shaco,jungle,52.59
Shaco,support,49.21
Shen,top,52.02
Shen,support,36.69
Shyvana,jungle,42.13
Singed,top,43.27
Sion,top,44.13
Sivir,bot,49.25
Skarner,top,52.56
Skarner,jungle,33.99
Smolder,bot,85.95
Smolder,mid,55.84
Sona,support,48.59
Soraka,support,48.66
Swain,bot,55.77
Swain,mid,37.94
Swain,support,24.67
Sylas,mid,58.25
Sylas,support,33.54
Syndra,mid,62.42
Tahm Kench,top,54.20
Tahm Kench,bot,49.34
Tahm Kench,support,38.71
Taliyah,mid,59.01
Taliyah,jungle,55.53
Talon,jungle,48.19
Talon,mid,47.53
Taric,support,39.51
Teemo,top,40.23
Thresh,support,67.85
Tristana,mid,52.42
Tristana,bot,39.85
Trundle,top,43.33
Tryndamere,top,42.47
Tryndamere,mid,38.72
Twisted Fate,mid,54.69
Twisted Fate,top,47.42
Twisted Fate,bot,43.25
Twitch,bot,49.81
Udyr,top,50.61
Udyr,jungle,36.78
Urgot,top,50.74
Varus,bot,49.92
Vayne,bot,52.31
Vayne,top,45.13
Veigar,mid,45.25
Veigar,bot,41.37
Vel'Koz,mid,47.52
Vel'Koz,support,44.14
Vex,mid,52.27
Vi,jungle,56.45
Viego,jungle,71.33
Viktor,mid,52.22
Vladimir,mid,58.87
Vladimir,top,43.64
Volibear,top,62.65
Volibear,jungle,61.03
Warwick,top,48.52
Warwick,jungle,40.30
Wukong,jungle,53.01
Wukong,top,39.26
Xayah,bot,42.53
Xerath,bot,53.30
Xerath,mid,49.30
Xerath,support,38.03
Xin Zhao,jungle,49.25
Yasuo,mid,58.90
Yasuo,bot,44.75
Yasuo,top,39.68
Yone,mid,54.06
Yone,top,51.68
Yorick,top,34.60
Yuumi,support,57.46
Zac,jungle,49.96
Zac,top,48.60
Zed,mid,59.84
Zed,jungle,46.13
Zeri,bot,59.37
Ziggs,bot,42.69
Ziggs,mid,31.38
Zilean,support,48.90
Zilean,top,46.15
Zoe,mid,46.05
Zyra,jungle,47.15
Zyra,support,44.94
